id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
970255424387491666,Rental unit in Boston · ★4.80 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.341197037275165,-71.09558064362376,Entire home/apt,81,1,8,2023-11-27,3.12,87,0,8,STR-540431
970255487139401897,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.33941039268015,-71.09387939893679,Entire home/apt,51,1,2,2023-11-19,1.33,87,347,2,STR-540432
970255523886035851,Rental unit in Boston · ★4.91 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.339688701361496,-71.09537347149856,Entire home/apt,103,1,11,2023-12-03,4.23,87,342,11,STR-540433
970256334776552942,Rental unit in Boston · ★4.82 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34681494729365,-71.09053291074052,Entire home/apt,54,1,63,2023-12-18,23.62,87,0,63,STR-540422
970256340308687936,Rental unit in Boston · ★5.0 · 1 bedroom · 1 bed · 1 bath,22348222,Maverick,,Fenway,42.34167,-71.09485,Entire home/apt,64,1,11,2023-12-03,4.58,87,337,11,STR-540427
970696545528120358,Home in Boston · ★4.73 · 1 bedroom · 1 bed · 1 bath,1407005,Izzy,,East Boston,42.37654878429381,-71.03550695040252,Private room,65,1,24,2023-12-01,6.92,3,0,24,STR-445805
970923638522576532,Serviced apartment in Boston · 1 bedroom · 2 beds · 1 bath,20857768,Compass,,South Boston Waterfront,42.3527606,-71.04651439999999,Entire home/apt,150,29,0,,,17,268,0,Exempt: This listing is a unit used for furnished institutional or business stays
971011953545272594,Rental unit in Boston · ★New · 1 bedroom · 1 bed · 1 bath,531150506,Benedicta,,Hyde Park,42.25454,-71.12881,Private room,96,1,1,2023-11-18,0.94,2,269,1,STR-540137
971237837731938987,Rental unit in Boston · ★4.94 · 2 bedrooms · 2 beds · 1 bath,21554910,Philipp,,Roxbury,42.32048,-71.07729,Entire home/apt,104,2,16,2023-12-04,4.49,2,0,16,STR-539401
971915036153685900,Home in Boston · ★5.0 · 1 bedroom · 1 bed · 1 bath,526738308,Xianming,,West Roxbury,42.285,-71.16668,Private room,71,1,5,2023-11-16,1.56,6,147,5,STR-533053
