id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35915254,Rental unit in Jersey City · ★4.86 · 4 bedrooms · 4 beds · 2 baths,270144188,Stephaney,,Ward F (councilmember Jermaine D. Robinson),40.71134,-74.07335,Entire home/apt,215,28,77,2023-07-22,1.41,1,166,9,
35946369,Townhouse in Jersey City · ★4.94 · 1 bedroom · 1 bed · 3 shared baths,203121906,Zack,,Ward C (councilmember Richard Boggiano),40.73101,-74.05452,Private room,59,29,18,2023-10-30,0.33,8,359,2,
36112853,Rental unit in Jersey City · ★4.66 · 1 bedroom · 1 bed · 3 shared baths,2549076,Miz,,Ward D (councilmember Michael Yun),40.75031,-74.05846,Private room,44,90,41,2023-04-28,0.76,7,59,2,
36112858,Rental unit in Jersey City · ★4.72 · 6 bedrooms · 1 bed · 3 shared baths,2549076,Miz,,Ward D (councilmember Michael Yun),40.7487,-74.0589,Private room,37,30,65,2023-12-04,1.20,7,62,2,
36112863,Rental unit in Jersey City · 1 bedroom · 1 bed · 3 shared baths,2549076,Miz,,Ward D (councilmember Michael Yun),40.74587,-74.05037,Private room,44,30,1,2023-06-30,0.17,7,31,1,
36489107,Home in Jersey City · ★4.78 · Studio · 2 beds · 1 shared bath,253288443,Laura,,Ward D (councilmember Michael Yun),40.74803,-74.05241,Private room,139,1,178,2023-12-21,3.28,2,77,76,
36510596,Guest suite in Jersey City · ★4.92 · Studio · 2 beds · 1 bath,78133615,Jay,,Ward F (councilmember Jermaine D. Robinson),40.7225,-74.06694,Entire home/apt,105,28,36,2023-09-23,0.67,2,82,5,
36840050,Rental unit in Jersey City · ★4.71 · 3 bedrooms · 3 beds · 1 bath,252170589,Casimira And Irving,,Ward D (councilmember Michael Yun),40.74725,-74.05247,Entire home/apt,125,1,321,2023-12-02,5.98,2,80,71,
37143670,Rental unit in Jersey City · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,131327596,Sebastian,,Ward E (councilmember James Solomon),40.72527,-74.0434,Private room,44,29,29,2023-08-13,0.54,3,66,5,
37183287,Rental unit in Jersey City · ★4.85 · Studio · 3 beds · 1 bath,272985996,Kurt,,Ward E (councilmember James Solomon),40.72255,-74.04617,Entire home/apt,85,30,47,2023-09-02,0.89,1,211,5,
